Start Time : Fr 1. Sep 10:05:18 CEST 2023
Job ID: 1153729
Node: hades
Partition: gpu_normal_stud
CPU cores: 16
Memory: 71680
GPUs: 0
Python environment: khoa                  *  /home/phamanh/anaconda3/envs/khoa
Current work directory: /home/phamanh/Schreibtisch/bachelorarbeit/im_CNN

device: cuda


Study statistics: 
  Number of finished trials:  100
  Number of pruned trials:  37
  Number of complete trials:  63
  Value:  0.13677294710849194
  Params: 
    batch_size: 32
    drop: 0.24617386581858958
    epochs: 100
    lr: 0.055716328638151014
    n_bins: 5
    optimizer: SGD
    strategy: quantile
    weight_decay: 1.730929873748007e-05
final test best model
https://app.neptune.ai/ba-final/mtf-1/e/MTF1-524
/home/phamanh/Schreibtisch/bachelorarbeit/im_CNN/mtf_cv.py:732: NeptuneUnsupportedType: You're attempting to log a type that is not directly supported by Neptune (<class 'list'>).
        Convert the value to a supported type, such as a string or float, or use stringify_unsupported(obj)
        for dictionaries or collections that contain unsupported values.
        For more, see https://docs.neptune.ai/help/value_of_unsupported_type
  run["fix_parameters"] = fix_parameters
================================================================================
Layer (type:depth-idx)                                  Param #
================================================================================
EfficientNet                                            --
├─Sequential: 1-1                                       --
│    └─Conv2dNormActivation: 2-1                        --
│    │    └─Conv2d: 3-1                                 576
│    │    └─BatchNorm2d: 3-2                            64
│    │    └─SiLU: 3-3                                   --
│    └─Sequential: 2-2                                  --
│    │    └─MBConv: 3-4                                 1,448
│    └─Sequential: 2-3                                  --
│    │    └─MBConv: 3-5                                 6,004
│    │    └─MBConv: 3-6                                 10,710
│    └─Sequential: 2-4                                  --
│    │    └─MBConv: 3-7                                 15,350
│    │    └─MBConv: 3-8                                 31,290
│    └─Sequential: 2-5                                  --
│    │    └─MBConv: 3-9                                 37,130
│    │    └─MBConv: 3-10                                102,900
│    │    └─MBConv: 3-11                                102,900
│    └─Sequential: 2-6                                  --
│    │    └─MBConv: 3-12                                126,004
│    │    └─MBConv: 3-13                                208,572
│    │    └─MBConv: 3-14                                208,572
│    └─Sequential: 2-7                                  --
│    │    └─MBConv: 3-15                                262,492
│    │    └─MBConv: 3-16                                587,952
│    │    └─MBConv: 3-17                                587,952
│    │    └─MBConv: 3-18                                587,952
│    └─Sequential: 2-8                                  --
│    │    └─MBConv: 3-19                                717,232
│    └─Conv2dNormActivation: 2-9                        --
│    │    └─Conv2d: 3-20                                409,600
│    │    └─BatchNorm2d: 3-21                           2,560
│    │    └─SiLU: 3-22                                  --
├─AdaptiveAvgPool2d: 1-2                                --
├─Sequential: 1-3                                       --
│    └─Dropout: 2-10                                    --
│    └─Linear: 2-11                                     1,281
================================================================================
Total params: 4,008,541
Trainable params: 4,008,541
Non-trainable params: 0
================================================================================
Warning: string series 'monitoring/e2fa8396/stdout' value was longer than 1000 characters and was truncated. This warning is printed only once per series.
Warning: string 'structure' value was longer than 16384 characters and was truncated. This warning is printed only once.
epoch 0, loss train 0.39, loss test 0.42, score train 0.23, score test 0.23, score final 0.00
epoch 1, loss train 0.28, loss test 0.38, score train 0.26, score test 0.17, score final 0.00
epoch 2, loss train 0.23, loss test 0.32, score train 0.28, score test 0.21, score final 0.00
epoch 3, loss train 0.20, loss test 0.28, score train 0.29, score test 0.22, score final 0.02
epoch 4, loss train 0.18, loss test 0.33, score train 0.30, score test 0.19, score final 0.00
epoch 5, loss train 0.17, loss test 0.26, score train 0.31, score test 0.23, score final 0.00
epoch 6, loss train 0.16, loss test 0.30, score train 0.32, score test 0.21, score final 0.00
epoch 7, loss train 0.15, loss test 0.28, score train 0.33, score test 0.22, score final 0.00
epoch 8, loss train 0.15, loss test 0.30, score train 0.33, score test 0.21, score final 0.00
epoch 9, loss train 0.15, loss test 0.36, score train 0.34, score test 0.16, score final 0.00
epoch 10, loss train 0.14, loss test 0.29, score train 0.34, score test 0.22, score final 0.00
epoch 11, loss train 0.14, loss test 0.30, score train 0.35, score test 0.20, score final 0.16
epoch 12, loss train 0.14, loss test 0.30, score train 0.35, score test 0.21, score final 0.00
epoch 13, loss train 0.13, loss test 0.40, score train 0.35, score test 0.14, score final 0.00
epoch 14, loss train 0.13, loss test 0.33, score train 0.36, score test 0.19, score final 0.00
epoch 15, loss train 0.12, loss test 0.36, score train 0.36, score test 0.17, score final 0.00
epoch 16, loss train 0.12, loss test 0.30, score train 0.37, score test 0.21, score final 0.03
epoch 17, loss train 0.12, loss test 0.26, score train 0.37, score test 0.23, score final 0.03
epoch 18, loss train 0.12, loss test 0.28, score train 0.37, score test 0.22, score final 0.16
epoch 19, loss train 0.11, loss test 0.30, score train 0.38, score test 0.23, score final 0.01
epoch 20, loss train 0.11, loss test 0.32, score train 0.38, score test 0.20, score final 0.06
epoch 21, loss train 0.11, loss test 0.28, score train 0.38, score test 0.22, score final 0.10
epoch 22, loss train 0.11, loss test 0.32, score train 0.39, score test 0.21, score final 0.10
epoch 23, loss train 0.11, loss test 0.27, score train 0.39, score test 0.22, score final 0.07
epoch 24, loss train 0.10, loss test 0.32, score train 0.40, score test 0.19, score final 0.01
epoch 25, loss train 0.10, loss test 0.29, score train 0.40, score test 0.21, score final 0.01
epoch 26, loss train 0.10, loss test 0.32, score train 0.40, score test 0.18, score final 0.00
epoch 27, loss train 0.10, loss test 0.29, score train 0.40, score test 0.21, score final 0.04
epoch 28, loss train 0.09, loss test 0.31, score train 0.40, score test 0.20, score final 0.00
epoch 29, loss train 0.09, loss test 0.33, score train 0.41, score test 0.19, score final 0.00
epoch 30, loss train 0.09, loss test 0.31, score train 0.41, score test 0.19, score final 0.06
epoch 31, loss train 0.09, loss test 0.29, score train 0.41, score test 0.22, score final 0.03
epoch 32, loss train 0.08, loss test 0.30, score train 0.42, score test 0.20, score final 0.00
epoch 33, loss train 0.09, loss test 0.33, score train 0.42, score test 0.19, score final 0.00
epoch 34, loss train 0.09, loss test 0.31, score train 0.42, score test 0.19, score final 0.08
